"parameter","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"xi[113,3]",2.309,0.535052421448496,1,2,2,3,3,1.0028749133592,840
"xi[114,3]",2.431,0.599465417069315,1,2,2,3,3,1.00333464756818,710
"xi[115,3]",2.32333333333333,0.565298218861194,1,2,2,3,3,1.0036197865222,860
"xi[116,3]",3.58933333333333,0.864639861205472,2,3,3,4,5,1.00179770940975,1500
"xi[117,3]",1.04833333333333,0.214505383946735,1,1,1,1,2,1.00298528359168,3000
"xi[118,3]",1.91866666666667,0.553311491619149,1,2,2,2,3,1.00605959456068,370
"xi[119,3]",1.00166666666667,0.0407975943341848,1,1,1,1,1,1.07130021927151,3000
"xi[120,3]",2.59266666666667,0.555742001243567,2,2,3,3,4,1.01054774212482,200
"xi[121,3]",4.654,0.599780998155646,3,4,5,5,5,1.0024153501613,1000
"xi[122,3]",2.3,0.53363057183386,1,2,2,3,3,1.00770483080074,280
"xi[123,3]",3.91633333333333,0.891589329642932,2,3,4,5,5,1.00587889536165,370
"xi[124,3]",1.12333333333333,0.331902006425861,1,1,1,1,2,1.00236472139303,1500
"xi[125,3]",4.03466666666667,0.876957566674012,3,3,4,5,5,1.00602330165694,360
"xi[126,3]",1.99466666666667,0.537340178140971,1,2,2,2,3,1.00229827317748,1100
"xi[127,3]",1.214,0.415846497444043,1,1,1,1,2,1.00065295043973,3000
"xi[128,3]",2.94033333333333,0.697807662659928,2,3,3,3,5,1.00151617189591,2000
"xi[129,3]",1.218,0.417772878558857,1,1,1,1,2,1.00095206110962,3000
"xi[130,3]",4.65066666666667,0.595049788089751,3,4,5,5,5,1.00489387525935,460
"xi[131,3]",4.68366666666667,0.578254282209698,3,4,5,5,5,1.01099686096689,240
"xi[132,3]",4.62,0.628541980836516,3,4,5,5,5,1.00481938902549,540
"xi[133,3]",4.553,0.669333252075609,3,4,5,5,5,1.01058147307136,250
"xi[134,3]",3.29533333333333,0.811786848984972,2,3,3,4,5,1.00340322049095,2500
"xi[135,3]",1.824,0.537078657642278,1,2,2,2,3,1.00280244838398,870
"xi[136,3]",4.654,0.605314905960905,3,4,5,5,5,1.01587724709994,200
"xi[137,3]",4.56,0.67073340041441,3,4,5,5,5,1.00681120549209,330
"xi[138,3]",3.52433333333333,0.847927404036687,2,3,3,4,5,1.00089871232576,3000
"xi[139,3]",1.00633333333333,0.0793430568004727,1,1,1,1,1,1.07575833546022,930
"xi[140,3]",2.959,0.696285816299116,2,3,3,3,5,1.002295474553,1100
"xi[141,3]",3.839,0.891072576605815,2,3,4,5,5,1.00235739478073,1100
"xi[142,3]",2.27733333333333,0.528374187468392,1,2,2,3,3,1.00577703544431,380
"xi[143,3]",2.57,0.608733810695689,2,2,3,3,4,1.00710160442996,310
"xi[144,3]",4.10333333333333,0.859981828376198,3,3,4,5,5,1.00295745626687,820
"xi[145,3]",1.01266666666667,0.111849865234637,1,1,1,1,1,1.00618040510352,3000
"xi[146,3]",4.52,0.695529477269835,3,4,5,5,5,1.01463102525301,190
"xi[147,3]",1.118,0.325747402839714,1,1,1,1,2,1.00153736434525,2600
"xi[148,3]",4.21566666666667,0.840668462223177,3,4,4,5,5,1.00707490598815,310
"xi[149,3]",4.62166666666667,0.630340912081738,3,4,5,5,5,1.00956521957106,280
"xi[150,3]",1.05366666666667,0.226870842144219,1,1,1,1,2,1.01272976572487,770
"xi[1,4]",4.394,0.783348716560668,3,4,5,5,5,1.00779511808099,300
"xi[2,4]",2.791,0.653805389364746,2,2,3,3,4,1.0062562212855,850
"xi[3,4]",4.09233333333333,0.860264246465471,3,3,4,5,5,1.00480686717614,470
"xi[4,4]",4.73166666666667,0.530180081854541,3,5,5,5,5,1.02059531564637,160
"xi[5,4]",1.795,0.549917390504058,1,1,2,2,3,1.0073970704207,310
"xi[6,4]",2.08833333333333,0.537860254564358,1,2,2,2,3,1.00081846309927,3000
"xi[7,4]",4.694,0.567865732807353,3,4,5,5,5,1.01484272668998,240
"xi[8,4]",1.25166666666667,0.437867329398918,1,1,1,1.18920711500272,2,1.00135987135799,2300
"xi[9,4]",1.10733333333333,0.31386683963091,1,1,1,1,2,1.00428944658331,1200
"xi[10,4]",4.215,0.847553999810158,3,4,4,5,5,1.00912790692635,290
"xi[11,4]",4.07033333333333,0.865044886951559,3,3,4,5,5,1.00501175148438,490
"xi[12,4]",1.03166666666667,0.175140268337753,1,1,1,1,2,1.00535084929915,2800
"xi[13,4]",4.73066666666667,0.529987280722973,3,5,5,5,5,1.00814965052649,380
"xi[14,4]",4.217,0.836347710284125,3,4,4,5,5,1.00376645835244,610
"xi[15,4]",4.67866666666667,0.5740395422102,3,4,5,5,5,1.02168515687,140
"xi[16,4]",1.56433333333333,0.519568288059944,1,1,2,2,2,1.00156384471854,1900
"xi[17,4]",2.952,0.705593334708217,2,3,3,3,5,1.00787010176212,560
"xi[18,4]",2.52533333333333,0.610040112234488,2,2,3,3,4,1.00448621859406,500
"xi[19,4]",1.01233333333333,0.110386973794692,1,1,1,1,1,1.01308820743297,3000
"xi[20,4]",4.75866666666667,0.510403493454867,3,5,5,5,5,1.03196730259409,130
"xi[21,4]",4.63466666666667,0.61805519140993,3,4,5,5,5,1.01594484843935,230
"xi[22,4]",3.585,0.855386206256537,2,3,3,4,5,1.00112591866643,3000
"xi[23,4]",4.75833333333333,0.503337201421672,3,5,5,5,5,1.02260941654222,150
"xi[24,4]",3.49433333333333,0.8893245685828,2,3,3,4,5,1.00361523552611,640
"xi[25,4]",4.71933333333333,0.544051057107513,3,5,5,5,5,1.01061871284573,290
"xi[26,4]",2.42266666666667,0.595654673771376,1,2,2,3,3,1.00431901295092,580
"xi[27,4]",2.96433333333333,0.70561593909628,2,3,3,3,5,1.00718068681627,470
"xi[28,4]",2.97666666666667,0.700204006538437,2,3,3,3,5,1.00437224941736,670
"xi[29,4]",4.247,0.813763932136187,3,4,4,5,5,1.00952949477705,230
"xi[30,4]",4.60133333333333,0.642289447316084,3,4,5,5,5,1.00866591454978,300
"xi[31,4]",1.89733333333333,0.517895382709062,1,2,2,2,3,1.00317636872495,750
"xi[32,4]",1.69433333333333,0.510870060088656,1,1,2,2,2,1.00053994836725,3000
"xi[33,4]",2.94233333333333,0.677121889746162,2,3,3,3,5,1.0088611163437,350
"xi[34,4]",2.971,0.707808352749109,2,3,3,3,5,1.00254968206086,980
"xi[35,4]",1.91833333333333,0.529550781542526,1,2,2,2,3,1.0005947811159,3000
"xi[36,4]",1.011,0.104319832929861,1,1,1,1,1,1.00922583648115,3000
"xi[37,4]",4.789,0.481549197773837,3,5,5,5,5,1.01712235323717,230
"xi[38,4]",1.529,0.529073693346208,1,1,2,2,2,1.00079037113658,3000
"xi[39,4]",4.80666666666667,0.456097464570843,4,5,5,5,5,1.02143216225026,200
"xi[40,4]",4.12866666666667,0.856167368612342,3,3,4,5,5,1.00320254287199,740
"xi[41,4]",4.191,0.840686971982807,3,3,4,5,5,1.00387150223992,600
"xi[42,4]",4.78933333333333,0.475073454479697,3,5,5,5,5,1.02067703479707,190
"xi[43,4]",1.747,0.554160053102728,1,1,2,2,3,1.00156810168364,1900
"xi[44,4]",3.47333333333333,0.859574610912939,2,3,3,4,5,1.00469546278446,530
"xi[45,4]",1.49466666666667,0.526685251999503,1,1,1,2,2,1.00198565039759,1300
"xi[46,4]",4.31366666666667,0.812506376031959,3,4,5,5,5,1.00869502901303,280
"xi[47,4]",1.37633333333333,0.494760701355808,1,1,1,2,2,1.00209264225195,1300
